company,market_cap,enterprise_value,revenue_ttm,ebitda,ev_revenue,ev_ebitda,pe_ratio,gross_margins,revenue_growth,debt_to_equity
Gerresheimer,971955584.0,3124095488.0,2320884992.0,358241984.0,1.35,8.72,41.4,23.6,22.0,207.977
Schott Pharma,2626719232.0,2902647808.0,991222976.0,256224000.0,2.93,11.33,18.4,32.9,-1.5,31.97
Stevanato,5187069952.0,5525414400.0,1203260032.0,288579008.0,4.59,19.15,32.8,29.2,6.6,29.434
AptarGroup,8103903744.0,9355888640.0,3872743936.0,806604032.0,2.42,11.6,21.7,36.7,10.8,53.724
Peer Median,,,,,2.93,11.6,21.7,32.9,6.6,
