country,year,debt_to_gdp,fdi_inflow,gdp_growth,inflation,unemployment,r_inflation,r_debt,r_unemployment,r_gdp,r_fdi,risk_index
Argentina,2005,80.3,2.64935441452167,8.04715150043027,9.6,10.078,7.0907712270926835,37.615449202350966,66.89535309184048,11.771829460265366,45.35869926868025,26.93
Argentina,2006,70.8,2.38106854489628,8.04715150043027,10.9,10.078,8.065692811699941,29.63895885810243,66.89535309184048,11.771829460265366,51.98717772494428,26.34
Argentina,2007,62.1,2.25129423568361,9.00765087504757,8.8,8.47,6.490819482718988,22.334172963895888,52.18624222466155,7.050143487579476,55.193482305926665,21.5
Argentina,2008,53.8,2.68990096507093,4.05723310346406,8.6,7.837,6.340831546625562,15.365239294710326,46.39590193926089,31.385732628732228,44.356924791452414,22.96
Argentina,2009,55.4,1.20643922647566,-5.91852507634947,6.3,8.645,4.615970281551184,16.70864819479429,53.787047200878156,80.42522053396843,81.00847930194817,37.21
Argentina,2010,43.5,2.67516171886535,10.1253981561002,10.5,7.714,7.7657169395130925,6.717044500419815,45.27076472740579,1.555447918353508,44.72108402231938,15.64
Argentina,2011,38.9,2.04465997872008,6.00395169280579,9.8,7.18,7.240759163186109,2.8547439126784204,40.386022685693376,21.8159254024401,60.2987482765921,19.56
Argentina,2012,40.4,2.80667189982932,-1.0264204544321,10.0,7.217,7.390747099279532,4.114189756507136,40.72447859495061,56.376291007676386,41.47189164958562,24.94
Argentina,2013,43.5,1.77920553648531,2.40532378079436,10.6,7.1,7.840710907559805,6.717044500419815,39.65422612513721,39.50629708001706,66.85727129507849,24.62
Argentina,2014,44.7,0.962406650325519,-2.51261532081394,14.375,7.268,10.671733201323185,7.72460117548279,41.19099890230517,63.682225440032354,87.037737107797,32.9
Argentina,2015,52.6,1.97713461784426,2.73115982828944,18.15,7.577,13.502755495086566,14.357682619647358,44.01756311745334,37.90453081601931,61.96708213421122,27.98
Argentina,2016,53.1,0.584748941173009,-2.08032784377811,21.925,8.088,16.33377778884995,14.777497900923594,48.691913648005844,61.55715824016966,96.36844092926482,37.92
Argentina,2017,57.0,1.78936504083806,2.81850297775918,25.7,8.347,19.16480008261333,18.052057094878254,51.06110501280644,37.47516361957965,66.60626271299196,32.13
Argentina,2018,85.2,2.23253157689253,-2.61739646282038,34.2772237131003,9.22,25.59720049331078,41.729638958858104,59.046834979875605,64.19731546662497,55.657047083872534,44.57
Argentina,2019,89.8,1.48500687570697,-2.00086100285785,53.5483043492339,9.843,40.04934854782894,45.5919395465995,64.74570069520674,61.16650991911651,74.1259712365025,52.49
Argentina,2020,103.8,1.26616924308721,-9.9004848136464,42.0150947376509,11.461,31.400137016958052,57.346767422334175,79.5462861324552,100.0,79.53274325645768,62.34
Argentina,2021,81.0,1.36838083162438,10.4418119882506,48.4093786255199,8.736,36.195464232642586,38.2031905961377,54.6194657885108,0.0,77.00742459712923,36.2
Argentina,2022,84.3,2.3984601182853,6.02074537534855,72.430757531824,6.805,54.210049454015916,40.97397145256087,36.95572630808635,21.733369913714796,51.55748804471394,42.21
