company,market_cap,enterprise_value,revenue_ttm,ebitda,ev_revenue,ev_ebitda,pe_ratio,gross_margins,revenue_growth,debt_to_equity
Gerresheimer,971955584.0,3124095488.0,2320884992.0,358241984.0,1.346,8.721,41.38235,0.23624,0.22,207.977
Schott Pharma,2626719232.0,2902647808.0,991222976.0,256224000.0,2.928,11.329,18.357895,0.32936,-0.015,31.97
Stevanato,5187069952.0,5525414400.0,1203260032.0,288579008.0,4.592,19.147,32.75862,0.29219,0.066,29.434
AptarGroup,8103903744.0,9355888640.0,3872743936.0,806604032.0,2.416,11.599,21.74315,0.36672002,0.108,53.724
