date,close,company,sector,ticker
2019-09-12,71.80745697021484,Siemens,Industrials,SIE.DE
2019-09-13,71.96337890625,Siemens,Industrials,SIE.DE
2019-09-16,71.80004119873047,Siemens,Industrials,SIE.DE
2019-09-17,72.03021240234375,Siemens,Industrials,SIE.DE
2019-09-18,71.69608306884766,Siemens,Industrials,SIE.DE
2019-09-19,72.37177276611328,Siemens,Industrials,SIE.DE
2019-09-20,72.77271270751953,Siemens,Industrials,SIE.DE
2019-09-23,71.74806213378906,Siemens,Industrials,SIE.DE
2019-09-24,70.90160369873047,Siemens,Industrials,SIE.DE
2019-09-25,71.22830963134766,Siemens,Industrials,SIE.DE
2019-09-26,71.06495666503906,Siemens,Industrials,SIE.DE
2019-09-27,72.29010009765625,Siemens,Industrials,SIE.DE
2019-09-30,72.95091247558594,Siemens,Industrials,SIE.DE
2019-10-01,71.8891372680664,Siemens,Industrials,SIE.DE
2019-10-02,70.41898345947266,Siemens,Industrials,SIE.DE
2019-10-04,70.76052856445312,Siemens,Industrials,SIE.DE
2019-10-07,71.59213256835938,Siemens,Industrials,SIE.DE
2019-10-08,70.47838592529297,Siemens,Industrials,SIE.DE
2019-10-09,71.23573303222656,Siemens,Industrials,SIE.DE
2019-10-10,71.64410400390625,Siemens,Industrials,SIE.DE
2019-10-11,73.60432434082031,Siemens,Industrials,SIE.DE
2019-10-14,73.64144134521484,Siemens,Industrials,SIE.DE
2019-10-15,74.16119384765625,Siemens,Industrials,SIE.DE
2019-10-16,74.78489685058594,Siemens,Industrials,SIE.DE
2019-10-17,73.4483871459961,Siemens,Industrials,SIE.DE
2019-10-18,74.07951354980469,Siemens,Industrials,SIE.DE
2019-10-21,75.69075775146484,Siemens,Industrials,SIE.DE
2019-10-22,76.62630462646484,Siemens,Industrials,SIE.DE
2019-10-23,76.98270416259766,Siemens,Industrials,SIE.DE
2019-10-24,77.05695343017578,Siemens,Industrials,SIE.DE
2019-10-25,77.51731872558594,Siemens,Industrials,SIE.DE
2019-10-28,78.0519027709961,Siemens,Industrials,SIE.DE
2019-10-29,78.33406829833984,Siemens,Industrials,SIE.DE
2019-10-30,77.71036529541016,Siemens,Industrials,SIE.DE
2019-10-31,76.75994873046875,Siemens,Industrials,SIE.DE
2019-11-01,77.91825866699219,Siemens,Industrials,SIE.DE
2019-11-04,79.78936004638672,Siemens,Industrials,SIE.DE
2019-11-05,80.47245788574219,Siemens,Industrials,SIE.DE
2019-11-06,80.4576187133789,Siemens,Industrials,SIE.DE
2019-11-07,84.39288330078125,Siemens,Industrials,SIE.DE
2019-11-08,84.49683380126953,Siemens,Industrials,SIE.DE
2019-11-11,83.561279296875,Siemens,Industrials,SIE.DE
2019-11-12,85.0017318725586,Siemens,Industrials,SIE.DE
2019-11-13,85.07598876953125,Siemens,Industrials,SIE.DE
2019-11-14,85.20964050292969,Siemens,Industrials,SIE.DE
2019-11-15,85.38783264160156,Siemens,Industrials,SIE.DE
2019-11-18,84.94235229492188,Siemens,Industrials,SIE.DE
2019-11-19,84.97203063964844,Siemens,Industrials,SIE.DE
2019-11-20,85.25418853759766,Siemens,Industrials,SIE.DE
2019-11-21,85.26904296875,Siemens,Industrials,SIE.DE
2019-11-22,85.22449493408203,Siemens,Industrials,SIE.DE
2019-11-25,86.44219970703125,Siemens,Industrials,SIE.DE
2019-11-26,87.3926010131836,Siemens,Industrials,SIE.DE
2019-11-27,87.25894165039062,Siemens,Industrials,SIE.DE
2019-11-28,87.12530517578125,Siemens,Industrials,SIE.DE
2019-11-29,86.96194458007812,Siemens,Industrials,SIE.DE
2019-12-02,86.27883911132812,Siemens,Industrials,SIE.DE
2019-12-03,86.81344604492188,Siemens,Industrials,SIE.DE
2019-12-04,87.57080841064453,Siemens,Industrials,SIE.DE
2019-12-05,86.23429107666016,Siemens,Industrials,SIE.DE
2019-12-06,86.7243423461914,Siemens,Industrials,SIE.DE
2019-12-09,86.14519500732422,Siemens,Industrials,SIE.DE
2019-12-10,85.6551513671875,Siemens,Industrials,SIE.DE
2019-12-11,87.02134704589844,Siemens,Industrials,SIE.DE
2019-12-12,87.52625274658203,Siemens,Industrials,SIE.DE
2019-12-13,87.4520034790039,Siemens,Industrials,SIE.DE
2019-12-16,89.02611541748047,Siemens,Industrials,SIE.DE
2019-12-17,87.79354095458984,Siemens,Industrials,SIE.DE
2019-12-18,86.78375244140625,Siemens,Industrials,SIE.DE
2019-12-19,87.19955444335938,Siemens,Industrials,SIE.DE
2019-12-20,87.71930694580078,Siemens,Industrials,SIE.DE
2019-12-23,87.25894165039062,Siemens,Industrials,SIE.DE
2019-12-27,87.79354095458984,Siemens,Industrials,SIE.DE
2019-12-30,86.53129577636719,Siemens,Industrials,SIE.DE
2020-01-02,88.0905532836914,Siemens,Industrials,SIE.DE
2020-01-03,86.39763641357422,Siemens,Industrials,SIE.DE
2020-01-06,85.9967041015625,Siemens,Industrials,SIE.DE
2020-01-07,86.546142578125,Siemens,Industrials,SIE.DE
2020-01-08,86.90254211425781,Siemens,Industrials,SIE.DE
2020-01-09,87.91234588623047,Siemens,Industrials,SIE.DE
2020-01-10,86.13034057617188,Siemens,Industrials,SIE.DE
2020-01-13,85.9521484375,Siemens,Industrials,SIE.DE
2020-01-14,86.4273452758789,Siemens,Industrials,SIE.DE
2020-01-15,85.93729400634766,Siemens,Industrials,SIE.DE
2020-01-16,86.17489624023438,Siemens,Industrials,SIE.DE
2020-01-17,86.94709777832031,Siemens,Industrials,SIE.DE
2020-01-20,86.73920440673828,Siemens,Industrials,SIE.DE
2020-01-21,87.02134704589844,Siemens,Industrials,SIE.DE
2020-01-22,86.14519500732422,Siemens,Industrials,SIE.DE
2020-01-23,85.83333587646484,Siemens,Industrials,SIE.DE
2020-01-24,87.55593872070312,Siemens,Industrials,SIE.DE
2020-01-27,85.25418853759766,Siemens,Industrials,SIE.DE
2020-01-28,85.6551513671875,Siemens,Industrials,SIE.DE
2020-01-29,86.36795043945312,Siemens,Industrials,SIE.DE
2020-01-30,84.45228576660156,Siemens,Industrials,SIE.DE
2020-01-31,82.89302825927734,Siemens,Industrials,SIE.DE
2020-02-03,82.5811767578125,Siemens,Industrials,SIE.DE
2020-02-04,83.88797760009766,Siemens,Industrials,SIE.DE
2020-02-05,84.43744659423828,Siemens,Industrials,SIE.DE
2020-02-06,83.8865737915039,Siemens,Industrials,SIE.DE
2020-02-07,83.59326171875,Siemens,Industrials,SIE.DE
2020-02-10,83.59326171875,Siemens,Industrials,SIE.DE
2020-02-11,84.47319030761719,Siemens,Industrials,SIE.DE
2020-02-12,84.58125305175781,Siemens,Industrials,SIE.DE
2020-02-13,82.71333312988281,Siemens,Industrials,SIE.DE
2020-02-14,82.327392578125,Siemens,Industrials,SIE.DE
2020-02-17,83.26907348632812,Siemens,Industrials,SIE.DE
2020-02-18,82.46634674072266,Siemens,Industrials,SIE.DE
2020-02-19,82.4972152709961,Siemens,Industrials,SIE.DE
2020-02-20,82.00321197509766,Siemens,Industrials,SIE.DE
2020-02-21,81.30853271484375,Siemens,Industrials,SIE.DE
2020-02-24,77.8814468383789,Siemens,Industrials,SIE.DE
2020-02-25,76.61557006835938,Siemens,Industrials,SIE.DE
2020-02-26,76.02896118164062,Siemens,Industrials,SIE.DE
2020-02-27,74.63959503173828,Siemens,Industrials,SIE.DE
2020-02-28,71.93805694580078,Siemens,Industrials,SIE.DE
2020-03-02,70.73394012451172,Siemens,Industrials,SIE.DE
2020-03-03,71.00410461425781,Siemens,Industrials,SIE.DE
2020-03-04,70.98094940185547,Siemens,Industrials,SIE.DE
2020-03-05,69.52983856201172,Siemens,Industrials,SIE.DE
2020-03-06,67.2759780883789,Siemens,Industrials,SIE.DE
2020-03-09,62.12762451171875,Siemens,Industrials,SIE.DE
2020-03-10,61.733970642089844,Siemens,Industrials,SIE.DE
2020-03-11,61.52556610107422,Siemens,Industrials,SIE.DE
2020-03-12,53.71426773071289,Siemens,Industrials,SIE.DE
2020-03-13,53.71426773071289,Siemens,Industrials,SIE.DE
2020-03-16,50.88151168823242,Siemens,Industrials,SIE.DE
2020-03-17,52.21684265136719,Siemens,Industrials,SIE.DE
2020-03-18,46.99129867553711,Siemens,Industrials,SIE.DE
2020-03-19,46.9990119934082,Siemens,Industrials,SIE.DE
2020-03-20,51.70741271972656,Siemens,Industrials,SIE.DE
2020-03-23,52.41753005981445,Siemens,Industrials,SIE.DE
2020-03-24,58.47667694091797,Siemens,Industrials,SIE.DE
2020-03-25,59.00926971435547,Siemens,Industrials,SIE.DE
2020-03-26,59.225399017333984,Siemens,Industrials,SIE.DE
2020-03-27,56.30774688720703,Siemens,Industrials,SIE.DE
2020-03-30,58.090755462646484,Siemens,Industrials,SIE.DE
2020-03-31,59.79657745361328,Siemens,Industrials,SIE.DE
2020-04-01,57.133644104003906,Siemens,Industrials,SIE.DE
2020-04-02,58.970680236816406,Siemens,Industrials,SIE.DE
2020-04-03,58.916648864746094,Siemens,Industrials,SIE.DE
2020-04-06,63.29314041137695,Siemens,Industrials,SIE.DE
2020-04-07,65.2073745727539,Siemens,Industrials,SIE.DE
2020-04-08,63.20051956176758,Siemens,Industrials,SIE.DE
2020-04-09,62.783714294433594,Siemens,Industrials,SIE.DE
2020-04-14,63.902915954589844,Siemens,Industrials,SIE.DE
2020-04-15,60.63792419433594,Siemens,Industrials,SIE.DE
2020-04-16,60.043582916259766,Siemens,Industrials,SIE.DE
2020-04-17,62.143062591552734,Siemens,Industrials,SIE.DE
2020-04-20,62.47495651245117,Siemens,Industrials,SIE.DE
2020-04-21,59.850608825683594,Siemens,Industrials,SIE.DE
2020-04-22,60.98525619506836,Siemens,Industrials,SIE.DE
2020-04-23,61.8806266784668,Siemens,Industrials,SIE.DE
2020-04-24,60.545291900634766,Siemens,Industrials,SIE.DE
2020-04-27,63.10017776489258,Siemens,Industrials,SIE.DE
2020-04-28,65.51612854003906,Siemens,Industrials,SIE.DE
2020-04-29,67.8162841796875,Siemens,Industrials,SIE.DE
2020-04-30,65.36174774169922,Siemens,Industrials,SIE.DE
2020-05-04,62.36690139770508,Siemens,Industrials,SIE.DE
2020-05-05,64.4509506225586,Siemens,Industrials,SIE.DE
2020-05-06,63.65593338012695,Siemens,Industrials,SIE.DE
2020-05-07,65.0761489868164,Siemens,Industrials,SIE.DE
2020-05-08,68.17906951904297,Siemens,Industrials,SIE.DE
2020-05-11,68.02468872070312,Siemens,Industrials,SIE.DE
2020-05-12,67.8162841796875,Siemens,Industrials,SIE.DE
2020-05-13,66.45780181884766,Siemens,Industrials,SIE.DE
2020-05-14,64.95265197753906,Siemens,Industrials,SIE.DE
2020-05-15,66.4886703491211,Siemens,Industrials,SIE.DE
2020-05-18,70.52554321289062,Siemens,Industrials,SIE.DE
2020-05-19,71.66019439697266,Siemens,Industrials,SIE.DE
2020-05-20,72.81027221679688,Siemens,Industrials,SIE.DE
2020-05-21,72.31627655029297,Siemens,Industrials,SIE.DE
2020-05-22,72.24681091308594,Siemens,Industrials,SIE.DE
2020-05-25,74.0838623046875,Siemens,Industrials,SIE.DE
2020-05-26,75.95177459716797,Siemens,Industrials,SIE.DE
2020-05-27,76.39945983886719,Siemens,Industrials,SIE.DE
2020-05-28,76.48435974121094,Siemens,Industrials,SIE.DE
2020-05-29,76.05210876464844,Siemens,Industrials,SIE.DE
2020-06-02,78.74593353271484,Siemens,Industrials,SIE.DE
2020-06-03,81.0306625366211,Siemens,Industrials,SIE.DE
2020-06-04,80.76822662353516,Siemens,Industrials,SIE.DE
2020-06-05,83.77850341796875,Siemens,Industrials,SIE.DE
2020-06-08,83.45433044433594,Siemens,Industrials,SIE.DE
2020-06-09,82.54351806640625,Siemens,Industrials,SIE.DE
2020-06-10,81.30853271484375,Siemens,Industrials,SIE.DE
2020-06-11,76.49980163574219,Siemens,Industrials,SIE.DE
2020-06-12,76.07527160644531,Siemens,Industrials,SIE.DE
2020-06-15,75.218505859375,Siemens,Industrials,SIE.DE
2020-06-16,78.22106170654297,Siemens,Industrials,SIE.DE
2020-06-17,79.02379608154297,Siemens,Industrials,SIE.DE
2020-06-18,79.23992919921875,Siemens,Industrials,SIE.DE
2020-06-19,80.13529205322266,Siemens,Industrials,SIE.DE
2020-06-22,79.19361114501953,Siemens,Industrials,SIE.DE
2020-06-23,80.27423095703125,Siemens,Industrials,SIE.DE
2020-06-24,78.1593017578125,Siemens,Industrials,SIE.DE
2020-06-25,78.82311248779297,Siemens,Industrials,SIE.DE
2020-06-26,78.60699462890625,Siemens,Industrials,SIE.DE
2020-06-29,80.04267120361328,Siemens,Industrials,SIE.DE
2020-06-30,80.86085510253906,Siemens,Industrials,SIE.DE
2020-07-01,80.27423095703125,Siemens,Industrials,SIE.DE
2020-07-02,82.25021362304688,Siemens,Industrials,SIE.DE
2020-07-03,81.84883880615234,Siemens,Industrials,SIE.DE
2020-07-06,83.31539154052734,Siemens,Industrials,SIE.DE
2020-07-07,83.45433044433594,Siemens,Industrials,SIE.DE
2020-07-08,81.66358947753906,Siemens,Industrials,SIE.DE
2020-07-09,81.60184478759766,Siemens,Industrials,SIE.DE
2020-07-10,83.3616943359375,Siemens,Industrials,SIE.DE
2020-07-13,84.28793334960938,Siemens,Industrials,SIE.DE
